행정구역,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,0~9세,_10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,0~89세,100세 이상,100세 이상
서울특별시 종로구 (1111000000),"135,081","135,081","5,005","9,149","19,929","19,758","17,809","22,169","20,614","12,593","6,801","1,226",28
서울특별시 종로구 청운효자동(1111051500),"10,668","10,668",467,990,"1,213","1,491","1,678","1,816","1,403",938,567,103,2
서울특별시 종로구 사직동(1111053000),"8,728","8,728",370,589,998,"1,408","1,343","1,432","1,241",744,491,107,5
서울특별시 종로구 삼청동(1111054000),"2,043","2,043",64,150,201,268,288,305,345,247,140,35,0
서울특별시 종로구 부암동(1111055000),"8,759","8,759",328,725,"1,023","1,142","1,289","1,543","1,344",815,451,96,3
서울특별시 종로구 평창동(1111056000),"16,715","16,715",846,"1,498","1,728","1,920","2,361","2,882","2,828","1,552",865,228,7
서울특별시 종로구 무악동(1111057000),"7,689","7,689",489,857,765,803,"1,208","1,364","1,099",658,384,62,0
서울특별시 종로구 교남동(1111058000),"9,378","9,378",621,726,"1,037","1,414","1,570","1,656","1,147",776,377,54,0
서울특별시 종로구 가회동(1111060000),"3,455","3,455",123,266,312,501,512,598,524,368,215,35,1
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,473","6,473",145,219,905,"1,045",794,994,"1,174",785,363,48,1
서울특별시 종로구 종로5.6가동(1111063000),"5,355","5,355",139,201,"1,188",992,575,737,777,456,257,33,0
서울특별시 종로구 이화동(1111064000),"6,997","6,997",137,343,"1,511","1,261",776,962,964,626,355,60,2
서울특별시 종로구 혜화동(1111065000),"15,620","15,620",423,"1,199","4,189","2,069","1,770","2,226","1,705","1,138",764,131,6
서울특별시 종로구 창신제1동(1111067000),"4,311","4,311",96,140,511,604,429,709,995,539,255,33,0
서울특별시 종로구 창신제2동(1111068000),"7,047","7,047",135,264,734,874,713,"1,443","1,552",889,384,59,0
서울특별시 종로구 창신제3동(1111069000),"6,054","6,054",247,360,671,949,717,"1,051","1,106",606,297,50,0
서울특별시 종로구 숭인제1동(1111070000),"5,632","5,632",164,321,648,805,744,"1,009",999,615,279,47,1
서울특별시 종로구 숭인제2동(1111071000),"10,157","10,157",211,301,"2,295","2,212","1,042","1,442","1,411",841,357,45,0
